Data_as_of,Start_week,End_Week,State,Sex,Age_group,COVID-19_Deaths,Total_Deaths,Pneumonia_Deaths,Pneumonia_and_COVID-19_Deaths,Influenza_Deaths,"Pneumonia,_Influenza,_or_COVID-19_Deaths",Footnote
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,All_Ages,175866,1894447,180095,78446,6671,283199,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,Under_1_year,19,10513,99,3,16,131,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,0-17_years,88,18631,296,17,123,490,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,1-4_years,14,2021,70,2,42,124,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,5-14_years,29,3110,94,8,52,167,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,15-24_years,315,19998,402,111,53,655,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,18-29_years,765,35561,963,315,100,1503,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,25-34_years,1360,41370,1513,606,151,2404,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,30-49_years,8024,124473,7476,3560,565,12427,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,35-44_years,3542,58523,3377,1547,247,5590,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,45-54_years,9324,107903,8747,4292,577,14251,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,50-64_years,27980,312037,29016,13371,1587,44928,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,55-64_years,22254,247264,23449,10694,1237,36026,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,65-74_years,37684,374953,39742,17965,1444,60671,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,75-84_years,46487,458477,49189,21421,1469,75520,
09/09/2020,02/01/2020,09/05/2020,United_States,All_Sexes,85_years_and_over,54838,570315,53413,21797,1383,87660,
