Data_as_of,Start_week,End_Week,State,Sex,Age_group,COVID-19_Deaths,Total_Deaths,Pneumonia_Deaths,Pneumonia_and_COVID-19_Deaths,Influenza_Deaths,"Pneumonia,_Influenza,_or_COVID-19_Deaths",Footnote
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,All_Ages,170566,1841678,175096,75771,6660,275565,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,Under_1_year,18,10185,94,2,16,126,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,0-17_years,85,18063,286,16,122,477,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,1-4_years,14,1967,67,2,42,121,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,5-14_years,28,3027,93,8,51,164,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,15-24_years,300,19318,393,105,52,636,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,18-29_years,741,34386,949,305,99,1474,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,25-34_years,1318,40030,1477,585,151,2347,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,30-49_years,7782,120655,7236,3432,565,12073,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,35-44_years,3450,56730,3281,1505,247,5444,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,45-54_years,9047,104779,8474,4140,577,13853,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,50-64_years,27119,303222,28149,12887,1585,43682,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,55-64_years,21552,240290,22741,10293,1235,35015,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,65-74_years,36434,364438,38531,17286,1440,58885,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,75-84_years,45022,445660,47818,20673,1470,73434,
09/02/2020,02/01/2020,08/29/2020,United_States,All_Sexes,85_years_and_over,53383,555254,52127,21172,1379,85540,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,Under_1_year,13,5633,61,2,8,80,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,0-17_years,53,10622,162,11,64,268,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,1-4_years,7,1153,32,1,25,63,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,5-14_years,20,1801,49,7,23,85,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,15-24_years,187,14305,244,65,27,390,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,18-29_years,485,25217,586,188,53,929,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,25-34_years,878,28228,920,384,76,1481,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,30-49_years,5360,79135,4590,2380,304,7818,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,35-44_years,2369,37380,2088,1036,132,3530,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,45-54_years,6183,65899,5307,2840,342,8920,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,50-64_years,17827,187479,17255,8429,913,27373,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,55-64_years,14068,148054,13892,6673,701,21839,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,65-74_years,22446,211882,23157,10714,804,35539,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,75-84_years,24762,231691,26744,11664,730,40458,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,85_years_and_over,21188,214369,23213,9253,563,35626,
09/02/2020,02/01/2020,08/29/2020,United_States,Male,All_Ages,92121,960395,95707,42639,3431,148011,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,Under_1_year,5,4537,33,0,8,46,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,0-17_years,32,7425,124,5,58,209,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,1-4_years,7,814,35,1,17,58,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,5-14_years,8,1226,44,1,28,79,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,15-24_years,113,5012,149,40,25,246,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,18-29_years,256,9169,363,117,46,545,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,25-34_years,440,11800,557,201,75,866,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,30-49_years,2422,41514,2646,1052,261,4255,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,35-44_years,1081,19347,1193,469,115,1914,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,45-54_years,2863,38877,3166,1299,235,4932,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,50-64_years,9291,115734,10892,4457,671,16306,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,55-64_years,7484,92229,8848,3620,533,13174,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,65-74_years,13987,152546,15373,6571,636,23345,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,75-84_years,20259,213956,21073,9008,740,32975,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,85_years_and_over,32194,340862,28913,11918,816,49913,
09/02/2020,02/01/2020,08/29/2020,United_States,Female,All_Ages,78441,881206,79384,33128,3228,127548,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,Under_1_year,0,15,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,0-17_years,0,16,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,1-4_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,5-14_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,15-24_years,0,1,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,18-29_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,25-34_years,0,2,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,30-49_years,0,6,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,35-44_years,0,3,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,45-54_years,1,3,1,1,0,1,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,50-64_years,1,9,2,1,1,3,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,55-64_years,0,7,1,0,1,2,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,65-74_years,1,10,1,1,0,1,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,75-84_years,1,13,1,1,0,1,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,85_years_and_over,1,23,1,1,0,1,
09/02/2020,02/01/2020,08/29/2020,United_States,Unknown,All_Ages,4,77,5,4,1,6,
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,Under_1_year,,108,0,0,,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,0-17_years,,213,,0,,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,1-4_years,0,20,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,5-14_years,0,40,,0,0,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,15-24_years,,278,,0,,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,18-29_years,,461,,,,14,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,25-34_years,14,512,15,,,24,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,30-49_years,73,1540,71,25,,122,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,35-44_years,31,751,39,13,,59,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,45-54_years,94,1319,67,24,,143,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,50-64_years,262,3839,257,79,21,461,
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,55-64_years,201,3025,212,62,16,367,
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,65-74_years,363,4143,366,122,17,623,
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,75-84_years,369,4294,378,123,,631,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,85_years_and_over,249,3016,259,82,,432,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Male,All_Ages,1324,17506,1338,433,60,2286,
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,Under_1_year,0,76,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,0-17_years,0,127,,0,,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,1-4_years,0,19,0,0,,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,5-14_years,0,21,,0,0,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,15-24_years,0,105,,0,0,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,18-29_years,,170,,,0,,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,25-34_years,,226,14,,,18,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,30-49_years,50,898,43,12,,86,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,35-44_years,23,413,16,,,37,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,45-54_years,69,880,56,18,,112,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,50-64_years,200,2546,235,55,13,392,
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,55-64_years,152,2001,195,41,,314,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,65-74_years,286,3177,256,98,12,456,
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,75-84_years,329,4265,331,111,,555,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,85_years_and_over,419,5148,331,123,,629,One_or_more_data_cells_have_counts_between_1–9_and_have_been_suppressed_in_accordance_with_NCHS_confidentiality_standards.
09/02/2020,02/01/2020,08/29/2020,Alabama,Female,All_Ages,1285,16331,1205,400,40,2128,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,Under_1_year,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,0-17_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,1-4_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,5-14_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,15-24_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,18-29_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,25-34_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,30-49_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,35-44_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,45-54_years,0,0,0,0,0,0,
09/02/2020,02/01/2020,08/29/2020,Alabama,Unknown,50-64_years,0,0,0,0,0,0,
