State,Sex,Age_group,COVID-19_Deaths
United_States,All_Sexes,Under_1_year,19
United_States,All_Sexes,0-17_years,88
United_States,All_Sexes,1-4_years,14
United_States,All_Sexes,5-14_years,29
United_States,All_Sexes,15-24_years,315
United_States,All_Sexes,18-29_years,765
United_States,All_Sexes,25-34_years,1360
United_States,All_Sexes,30-49_years,8024
United_States,All_Sexes,35-44_years,3542
United_States,All_Sexes,45-54_years,9324
United_States,All_Sexes,50-64_years,27980
United_States,All_Sexes,55-64_years,22254
United_States,All_Sexes,65-74_years,37684
United_States,All_Sexes,75-84_years,46487
United_States,All_Sexes,85_years_and_over,54838
United_States,Male,Under_1_year,13
United_States,Male,0-17_years,54
United_States,Male,1-4_years,7
United_States,Male,5-14_years,20
United_States,Male,15-24_years,195
United_States,Male,18-29_years,499
United_States,Male,25-34_years,904
United_States,Male,30-49_years,5512
United_States,Male,35-44_years,2430
United_States,Male,45-54_years,6362
United_States,Male,50-64_years,18359
United_States,Male,55-64_years,14493
United_States,Male,65-74_years,23213
United_States,Male,75-84_years,25562
United_States,Male,85_years_and_over,21770
United_States,Female,Under_1_year,6
United_States,Female,0-17_years,34
United_States,Female,1-4_years,7
United_States,Female,5-14_years,9
United_States,Female,15-24_years,120
United_States,Female,18-29_years,266
United_States,Female,25-34_years,456
United_States,Female,30-49_years,2512
United_States,Female,35-44_years,1112
United_States,Female,45-54_years,2961
United_States,Female,50-64_years,9620
United_States,Female,55-64_years,7761
United_States,Female,65-74_years,14470
United_States,Female,75-84_years,20924
United_States,Female,85_years_and_over,33067
United_States,Unknown,Under_1_year,0
United_States,Unknown,0-17_years,0
United_States,Unknown,1-4_years,0
United_States,Unknown,5-14_years,0
United_States,Unknown,15-24_years,0
United_States,Unknown,18-29_years,0
United_States,Unknown,25-34_years,0
United_States,Unknown,30-49_years,0
United_States,Unknown,35-44_years,0
United_States,Unknown,45-54_years,1
United_States,Unknown,50-64_years,1
United_States,Unknown,55-64_years,0
United_States,Unknown,65-74_years,1
United_States,Unknown,75-84_years,1
United_States,Unknown,85_years_and_over,1
Alabama,Male,Under_1_year,
Alabama,Male,0-17_years,
Alabama,Male,1-4_years,0
Alabama,Male,5-14_years,0
Alabama,Male,15-24_years,
Alabama,Male,18-29_years,
Alabama,Male,25-34_years,14
Alabama,Male,30-49_years,78
Alabama,Male,35-44_years,34
Alabama,Male,45-54_years,97
Alabama,Male,50-64_years,270
Alabama,Male,55-64_years,208
Alabama,Male,65-74_years,380
Alabama,Male,75-84_years,378
Alabama,Male,85_years_and_over,255
Alabama,Female,Under_1_year,0
Alabama,Female,0-17_years,0
Alabama,Female,1-4_years,0
Alabama,Female,5-14_years,0
Alabama,Female,15-24_years,
Alabama,Female,18-29_years,
Alabama,Female,25-34_years,
Alabama,Female,30-49_years,52
Alabama,Female,35-44_years,24
Alabama,Female,45-54_years,71
Alabama,Female,50-64_years,207
Alabama,Female,55-64_years,158
Alabama,Female,65-74_years,289
Alabama,Female,75-84_years,337
Alabama,Female,85_years_and_over,434
Alabama,Unknown,Under_1_year,0
Alabama,Unknown,0-17_years,0
Alabama,Unknown,1-4_years,0
Alabama,Unknown,5-14_years,0
Alabama,Unknown,15-24_years,0
Alabama,Unknown,18-29_years,0
Alabama,Unknown,25-34_years,0
Alabama,Unknown,30-49_years,0
Alabama,Unknown,35-44_years,0
Alabama,Unknown,45-54_years,0
Alabama,Unknown,50-64_years,0
Alabama,Unknown,55-64_years,0
Alabama,Unknown,65-74_years,0
Alabama,Unknown,75-84_years,0
Alabama,Unknown,85_years_and_over,0
Alaska,Male,Under_1_year,0
Alaska,Male,0-17_years,0
Alaska,Male,1-4_years,0
Alaska,Male,5-14_years,0
Alaska,Male,15-24_years,0
Alaska,Male,18-29_years,0
Alaska,Male,25-34_years,0
Alaska,Male,30-49_years,
Alaska,Male,35-44_years,0
Alaska,Male,45-54_years,
Alaska,Male,50-64_years,
Alaska,Male,55-64_years,
Alaska,Male,65-74_years,
Alaska,Male,75-84_years,
Alaska,Male,85_years_and_over,
Alaska,Female,Under_1_year,0
Alaska,Female,0-17_years,0
Alaska,Female,1-4_years,0
Alaska,Female,5-14_years,0
Alaska,Female,15-24_years,0
Alaska,Female,18-29_years,0
Alaska,Female,25-34_years,
Alaska,Female,30-49_years,
Alaska,Female,35-44_years,0
Alaska,Female,45-54_years,
Alaska,Female,50-64_years,
Alaska,Female,55-64_years,
Alaska,Female,65-74_years,
Alaska,Female,75-84_years,
Alaska,Female,85_years_and_over,
Alaska,Unknown,Under_1_year,0
Alaska,Unknown,0-17_years,0
Alaska,Unknown,1-4_years,0
Alaska,Unknown,5-14_years,0
Alaska,Unknown,15-24_years,0
Alaska,Unknown,18-29_years,0
Alaska,Unknown,25-34_years,0
Alaska,Unknown,30-49_years,0
Alaska,Unknown,35-44_years,0
Alaska,Unknown,45-54_years,0
Alaska,Unknown,50-64_years,0
Alaska,Unknown,55-64_years,0
Alaska,Unknown,65-74_years,0
Alaska,Unknown,75-84_years,0
Alaska,Unknown,85_years_and_over,0
Arizona,Male,Under_1_year,0
Arizona,Male,0-17_years,
Arizona,Male,1-4_years,
